repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
apache/commons-collections,7ab4e4fe994ed51da0a3aed39ce2500c49a50195,49d56376ebcef39b6b3f8e6f7c8b6798764427cc,master,1635986914,0,0,0,0,0,0,0,0,0,0,0,0,0,12145,12145,12145,12145,13474,13474,0,0,0,0,0,0,0,0,0,0,2,2,
apache/commons-collections,49d56376ebcef39b6b3f8e6f7c8b6798764427cc,8a992cd90b4f8d16e4d960c8b59ae645007652c5,master,1635909087,0,0,0,0,0,0,0,0,0,0,0,0,0,12145,12145,12145,12145,13474,13474,0,0,0,0,0,0,0,0,0,0,2,1,
apache/commons-collections,8a992cd90b4f8d16e4d960c8b59ae645007652c5,ccc8f421b12f6aefb8d5309c7f5872ab2a3ce763,master,1634601587,0,0,0,0,0,0,0,0,0,0,0,0,0,12145,12145,12145,12145,13474,13474,0,0,0,0,0,0,0,0,0,0,2,2,
apache/commons-collections,ccc8f421b12f6aefb8d5309c7f5872ab2a3ce763,23f2d363c5935cac57b6b41938dc662ad9f3463c,master,1633769670,11,2,0,0,8,1,0,0,0,0,0,0,0,12134,12153,12145,12142,13474,13462,0,0,10,83,0,0,36,967,11,1040,1020,1052,
apache/commons-collections,23f2d363c5935cac57b6b41938dc662ad9f3463c,0352f34efec1edbfd92f6c12c45f6141031a5399,master,1632847007,0,0,0,0,0,0,0,0,4,0,0,0,0,12138,12142,12142,12138,13470,13470,0,0,0,1,0,0,0,2,0,2,4,4,
apache/commons-collections,0352f34efec1edbfd92f6c12c45f6141031a5399,87a028621f8c20704cdb50bff8f03bd17f9e2917,master,1632841458,4,0,0,0,7,0,0,0,0,4,0,0,0,12134,12149,12138,12145,13470,13466,0,0,1,1,0,0,17,16,10,0,40,14,
apache/commons-collections,87a028621f8c20704cdb50bff8f03bd17f9e2917,ddb4f78cfffc3392d897f7d59b75db946bf3a055,master,1631594814,0,0,0,0,0,0,0,0,0,0,0,0,0,12145,12145,12145,12145,13473,13473,0,0,0,0,0,0,0,0,0,0,4,4,
apache/commons-collections,ddb4f78cfffc3392d897f7d59b75db946bf3a055,6328258a29ecd9f838ba1b17cbc5c6c8ffef71a3,master,1630619510,0,0,0,0,0,0,0,0,0,0,0,0,0,12145,12145,12145,12145,13473,13473,0,0,0,0,0,0,0,0,0,0,2,1,
apache/commons-collections,6328258a29ecd9f838ba1b17cbc5c6c8ffef71a3,dd140af5e660a6afabe238692ecae276846099c4,master,1630211052,0,0,0,0,0,0,0,0,0,0,0,0,0,12145,12145,12145,12145,13473,13473,0,0,0,0,0,0,0,0,0,0,14,32,
apache/commons-collections,dd140af5e660a6afabe238692ecae276846099c4,911814e49c024c070e4c95149b2cbf83842deaf3,master,1628544227,0,0,0,0,0,0,0,0,0,0,0,0,0,12145,12145,12145,12145,13473,13473,0,0,0,0,0,0,0,0,0,0,3,2,
