repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
apache/commons-io,3f97206b8878c028c64c5edd798d3cbf0e49d1a4,9641f7eb5076d9180763a6eb0a93a85d4f9b0fe7,master,1636198624,0,0,0,0,0,0,0,0,0,1,0,0,0,6314,6315,6314,6315,7149,7149,0,0,0,0,0,0,0,0,0,0,3,0,
apache/commons-io,9641f7eb5076d9180763a6eb0a93a85d4f9b0fe7,bc80b9ae48bc4e74781ef485e389f08fa5b788f1,master,1636198414,3,0,0,0,16,1,0,0,1,3,0,0,0,6311,6337,6315,6333,7149,7150,0,0,1,0,0,0,4,0,88,0,4,88,
apache/commons-io,bc80b9ae48bc4e74781ef485e389f08fa5b788f1,d47d625275b05643459d47ea9862e827bd672653,master,1636028084,0,0,0,0,0,0,0,0,2,10,0,0,0,6331,6343,6333,6341,7166,7166,0,0,0,0,0,0,0,0,0,0,4,4,
apache/commons-io,e70e0599488e21f611927bbd6e448c47113bc471,d0233bf238e571a9033af3c1c184852ad697d1a7,master,1635900454,0,0,0,0,0,0,0,0,0,0,0,0,0,6342,6342,6342,6342,7166,7166,0,0,0,0,0,0,0,0,0,0,2,2,
apache/commons-io,d0233bf238e571a9033af3c1c184852ad697d1a7,d47d625275b05643459d47ea9862e827bd672653,master,1635777416,0,0,0,0,0,0,0,0,2,1,0,0,0,6340,6343,6342,6341,7166,7166,0,0,0,0,0,0,0,0,0,0,1,1,
apache/commons-io,d47d625275b05643459d47ea9862e827bd672653,5648a9dc560c760792b61e1ac6d5c00e1206748a,master,1635703943,0,0,0,0,0,0,0,0,1,2,0,0,0,6340,6343,6341,6342,7166,7166,0,0,0,1,0,0,0,2,0,1,2,1,
apache/commons-io,5648a9dc560c760792b61e1ac6d5c00e1206748a,51f4de0c25cb1c9cf8402b9c6c0f20e94112f7ca,master,1635648294,0,0,0,0,0,0,0,0,9,1,0,0,0,6333,6343,6342,6334,7166,7166,0,0,1,2,0,0,72,1,32,8,73,40,
apache/commons-io,51f4de0c25cb1c9cf8402b9c6c0f20e94112f7ca,4c7a0d16f336fb76e83c85a726fc80a5a8b1db2b,master,1635617083,3,0,0,0,5,1,0,0,1,0,0,0,0,6330,6339,6334,6335,7166,7164,0,0,1,0,0,0,4,0,14,0,4,14,
apache/commons-io,4c7a0d16f336fb76e83c85a726fc80a5a8b1db2b,40cf7ce7dcac85d73115862590291bd99dac35a7,master,1635613543,0,0,0,0,0,0,0,0,0,9,0,0,0,6335,6344,6335,6344,7169,7169,0,1,0,0,0,0,0,105,0,0,105,0,
apache/commons-io,40cf7ce7dcac85d73115862590291bd99dac35a7,aac69176c55014d765cedc3949b87fddc4f12383,master,1635609226,0,0,0,0,0,0,0,0,11,0,0,0,0,6333,6344,6344,6333,7169,7169,0,0,0,0,0,0,0,0,0,0,6,0,
apache/commons-io,aac69176c55014d765cedc3949b87fddc4f12383,8827b4e0f00c4ce57bdaffdaac1a3d72ac38a48a,master,1635609030,0,0,0,0,0,0,0,0,0,2,0,0,0,6333,6335,6333,6335,7169,7169,0,0,1,1,0,0,35,28,0,0,63,0,
apache/commons-io,8827b4e0f00c4ce57bdaffdaac1a3d72ac38a48a,81d825517ca90c2ef8a5e8d10ecf36ed95aad984,master,1635460018,0,0,0,0,0,0,0,0,0,0,0,0,0,6335,6335,6335,6335,7169,7169,0,0,0,0,0,0,0,0,0,0,4,1,
apache/commons-io,81d825517ca90c2ef8a5e8d10ecf36ed95aad984,e49cbb31c4c0551327eb8ee3161490c80214cf2f,master,1635452403,0,0,0,0,0,0,0,0,0,0,0,0,0,6335,6335,6335,6335,7169,7169,0,0,0,1,0,0,0,3,0,0,5,2,
apache/commons-io,26889af2d54cbe094f75b23bc5ae40b5fbec6417,e49cbb31c4c0551327eb8ee3161490c80214cf2f,master,1635452278,0,0,0,0,0,0,0,0,10,0,0,0,0,6335,6345,6345,6335,7169,7169,0,0,0,0,0,0,0,0,0,0,1,1,
apache/commons-io,e49cbb31c4c0551327eb8ee3161490c80214cf2f,a7319d27002ef5b71e0bea932c59ebcd042ac8ff,master,1635443394,0,0,0,0,0,0,0,0,0,0,0,0,0,6335,6335,6335,6335,7169,7169,0,0,0,1,0,0,0,2,0,2,2,2,
apache/commons-io,a7319d27002ef5b71e0bea932c59ebcd042ac8ff,8f7a6430d535b0227fc25cb917af94b9339c3b19,master,1634906309,0,0,0,0,0,0,0,0,0,0,0,0,0,6335,6335,6335,6335,7169,7169,0,0,0,0,0,0,0,0,0,0,2,2,
apache/commons-io,8f7a6430d535b0227fc25cb917af94b9339c3b19,3c20580ba7533e15957a1b5c431b5c589d266cbd,master,1634656910,4,0,0,0,4,0,0,0,1,9,0,0,0,6330,6349,6335,6344,7169,7165,0,0,1,0,0,0,33,0,33,0,33,33,
apache/commons-io,3c20580ba7533e15957a1b5c431b5c589d266cbd,276bd98be670c7271814023d5306fe4838d49b93,master,1634656852,0,0,0,0,0,0,0,0,0,1,0,0,0,6344,6345,6344,6345,7169,7169,0,0,0,0,0,0,0,0,0,0,3,0,
apache/commons-io,276bd98be670c7271814023d5306fe4838d49b93,bc53cdac20a0ad72af09ffc8f11504feee850f25,master,1634656644,4,0,0,0,0,0,0,0,10,0,0,0,0,6331,6345,6345,6331,7169,7165,0,0,1,1,0,0,34,21,0,0,55,0,
apache/commons-io,bc53cdac20a0ad72af09ffc8f11504feee850f25,7cba8ae576cf34b260450e076519ba197553ef4a,master,1634640732,0,0,0,0,0,0,0,0,0,0,0,0,0,6331,6331,6331,6331,7165,7165,0,0,1,7,0,0,1,18,1,20,25,21,
apache/commons-io,7cba8ae576cf34b260450e076519ba197553ef4a,0b87b98e8d0e466885ba1eb1e043da9f586001f5,master,1634557443,0,0,0,0,0,0,0,0,0,0,0,0,0,6331,6331,6331,6331,7165,7165,0,0,0,0,0,0,0,0,0,0,6,3,
apache/commons-io,0b87b98e8d0e466885ba1eb1e043da9f586001f5,719a3edb60513ba91049f0239d0180e72f424438,master,1634410158,5,0,0,0,4,0,0,0,0,1,0,0,0,6326,6336,6331,6331,7165,7160,0,0,1,1,0,0,7,25,5,0,35,5,
apache/commons-io,719a3edb60513ba91049f0239d0180e72f424438,92c5d8d36b1b37af85d9dcd214138b7f72cb2eb2,master,1634407009,0,0,0,0,0,0,0,0,3,9,0,0,0,6328,6340,6331,6337,7164,7164,0,0,0,0,0,0,0,0,0,0,1,1,
apache/commons-io,92c5d8d36b1b37af85d9dcd214138b7f72cb2eb2,cbcb88af9ab389b595b06f3a60111192e56c09fe,master,1634406899,0,0,0,0,0,0,0,0,9,2,0,0,0,6328,6339,6337,6330,7164,7164,0,0,0,0,0,0,0,0,0,0,4,4,
apache/commons-io,af228dc8f9923d5799d1dd3e6b3382310c7e150b,5911ca64d08c110bc7a612dbef2f278d5dd2a9ab,master,1634405160,0,0,0,0,0,0,0,0,9,1,0,0,0,6330,6340,6339,6331,7164,7164,0,0,0,0,0,0,0,0,0,0,1,1,
